from_cbsa_info_CBSA Name,from_CBSA,from_CBSA_ID,from_state,to_cbsa_info_CBSA Name,to_CBSA,to_CBSA_ID,to_state,Total Perm,Total Temp,from_num_households,to_num_households
Asheville,"Asheville, NC",310M400US11700, NC,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,0.00,94.00,191756.00,275965.00
Asheville,"Asheville, NC",310M400US11700, NC,Charleston-North Charleston,"Charleston-North Charleston, SC",310M400US16700, SC,67.00,0.00,191756.00,291427.00
Asheville,"Asheville, NC",310M400US11700, NC,Charlotte-Concord-Gastonia,"Charlotte-Concord-Gastonia, NC-SC",310M400US16740, NC-SC,384.00,0.00,191756.00,952806.00
Asheville,"Asheville, NC",310M400US11700, NC,Durham-Chapel Hill,"Durham-Chapel Hill, NC",310M400US20500, NC,68.00,0.00,191756.00,245658.00
Asheville,"Asheville, NC",310M400US11700, NC,Greenville-Anderson,"Greenville-Anderson, SC",310M400US24860, SC,465.00,0.00,191756.00,343270.00
Asheville,"Asheville, NC",310M400US11700, NC,Hickory-Lenoir-Morganton,"Hickory-Lenoir-Morganton, NC",310M400US25860, NC,100.00,0.00,191756.00,144508.00
Asheville,"Asheville, NC",310M400US11700, NC,Miami-Fort Lauderdale-Pompano Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",310M400US33100, FL,66.00,186.00,191756.00,2127517.00
Asheville,"Asheville, NC",310M400US11700, NC,North Port-Sarasota-Bradenton,"North Port-Sarasota-Bradenton, FL",310M400US35840, FL,35.00,91.00,191756.00,328198.00
Asheville,"Asheville, NC",310M400US11700, NC,Raleigh-Cary,"Raleigh-Cary, NC",310M400US39580, NC,279.00,0.00,191756.00,494521.00
Asheville,"Asheville, NC",310M400US11700, NC,Spartanburg,"Spartanburg, SC",310M400US43900, SC,373.00,0.00,191756.00,116645.00
Asheville,"Asheville, NC",310M400US11700, NC,Tampa-St. Petersburg-Clearwater,"Tampa-St. Petersburg-Clearwater, FL",310M400US45300, FL,41.00,135.00,191756.00,1213267.00
Asheville,"Asheville, NC",310M400US11700, NC,Winston-Salem,"Winston-Salem, NC",310M400US49180, NC,53.00,0.00,191756.00,264877.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Asheville,"Asheville, NC",310M400US11700, NC,67.00,0.00,2104360.00,191756.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,484550.00,20200.00,2104360.00,2104360.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Augusta-Richmond County,"Augusta-Richmond County, GA-SC",310M400US12260, GA-SC,396.00,0.00,2104360.00,215210.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Austin-Round Rock-Georgetown,"Austin-Round Rock-Georgetown, TX",310M400US12420, TX,362.00,0.00,2104360.00,764989.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Baltimore-Columbia-Towson,"Baltimore-Columbia-Towson, MD",310M400US12580, MD,56.00,0.00,2104360.00,1049909.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Birmingham-Hoover,"Birmingham-Hoover, AL",310M400US13820, AL,389.00,0.00,2104360.00,417562.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Boston-Cambridge-Newton,"Boston-Cambridge-Newton, MA-NH",310M400US14460, MA-NH,154.00,0.00,2104360.00,1831217.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,154.00,40.00,2104360.00,275965.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Charleston-North Charleston,"Charleston-North Charleston, SC",310M400US16700, SC,313.00,34.00,2104360.00,291427.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Charlotte-Concord-Gastonia,"Charlotte-Concord-Gastonia, NC-SC",310M400US16740, NC-SC,1177.00,0.00,2104360.00,952806.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Chattanooga,"Chattanooga, TN-GA",310M400US16860, TN-GA,364.00,0.00,2104360.00,219166.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Chicago-Naperville-Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",310M400US16980, IL-IN-WI,1129.00,49.00,2104360.00,3514621.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Cleveland-Elyria,"Cleveland-Elyria, OH",310M400US17460, OH,103.00,0.00,2104360.00,861912.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Columbia,"Columbia, SC",310M400US17900, SC,132.00,0.00,2104360.00,312401.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Columbus,"Columbus, GA-AL",310M400US17980, GA-AL,474.00,24.00,2104360.00,118780.00
Atlanta-Sandy Springs-Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",310M400US12060, GA,Columbus,"Columbus, OH",310M400US18140, OH,159.00,0.00,2104360.00,794449.00
